evidence_id,evidence_type,source_id,claim_id,representation,verification_state,access_level,locator,notes
EVD-000036,source_claim,SRC-000004,CLM-000036,paraphrase,source_reported,public,,
EVD-000037,source_claim,SRC-000003,CLM-000037,paraphrase,source_reported,public,,
EVD-000038,source_claim,SRC-000003,CLM-000038,paraphrase,source_reported,public,,
EVD-000039,source_claim,SRC-MMSC-000002,CLM-000039,paraphrase,abstract_reported,public,"publisher abstract; DOI 10.30884/seh/2025.02.01","Abstract-level evidence only; full-text passage and community-aware review pending before any stronger claim."
EVD-000040,source_claim,SRC-MMSC-000003,CLM-000040,paraphrase,article_abstract_reported,public,"Problems of Sustainable Development 16(1) (2021), p. 181 abstract; article pp. 181-185; DOI 10.35784/pe.2021.1.19","Publisher page and publisher-served PDF verify the exact article and page range. Evidence remains source-reported; methodology, participant scope, reuse terms and community validation are not inferred."
EVD-000041,source_claim,SRC-MMSC-000004,CLM-000041,paraphrase,dissertation_abstract_reported,public,"Virginia Tech VTechWorks institutional abstract; Handle 10919/111386; fieldwork stated as May 2017-December 2018","Institutional abstract and dissertation-download presence verified. This evidence records only the dissertation author's study framing; participant-derived details require exact-page, ethics, consent, rights and cultural-access review."
EVD-000042,source_claim,SRC-MMSC-000007,CLM-000042,paraphrase,article_abstract_reported,public,"SAGE publisher abstract; The Oriental Anthropologist 13(2), pp. 267-280; DOI 10.1177/0972558X1301300205","Publisher abstract verifies the article's two-village Khunti empirical scope. Evidence does not establish current legal status, universal customary practice, participant-level propositions, community validation or unrestricted full-text reuse."
EVD-000043,source_claim,SRC-MMSC-000008,CLM-000043,paraphrase,article_full_text_study_scope_reported,public,"PubMed PMID 41121309; PMC12539013 Results opening: study conducted on 201 households of eleven villages in Murhu and Torpa, Khunti district; DOI 10.1186/s40795-025-01159-2","Exact study-setting and methods scope verified against PubMed/PMC. Evidence is bounded to the sampled research setting; no participant-level data, universal dietary claim, community validation or cultural-access permission is inferred from open article access."
EVD-000044,source_claim,SRC-MMSC-000009,CLM-000044,paraphrase,article_full_text_study_scope_reported,public,"Frontiers full text, Abstract and Study Design sections; DOI 10.3389/fnut.2020.600470; nine villages in Murhu and Torpa blocks; data collection June 2019-January 2020","Publisher full text verifies the study design, setting and fieldwork period. Evidence is bounded to those documented methods; participant quotations, detailed food inventories, efficacy claims, community validation and participant-level reuse permission are not inferred."
EVD-000045,source_claim,SRC-MMSC-000010,CLM-000045,paraphrase,dissertation_abstract_reported,public,"Sapienza institutional abstract; Handles 20.500.14242/212639 and 11573/1740709; thesis dated 26 May 2025","Two institutional repository records verify the dissertation identity, abstract scope, Munda inclusion and open-access file presence. Evidence is limited to the comparative research scope; no Munda-specific participant or movement proposition is inferred without chapter/page-level review."
