subdomain_id,domain_id,subdomain_name,sort_order
DOM-21-S07,DOM-21,Pathalgarri,7
DOM-21-S08,DOM-21,Jangtopa,8
DOM-21-S09,DOM-21,Memorial stone,9
DOM-21-S10,DOM-21,Megalithic practice,10
DOM-21-S11,DOM-21,Ancestor incorporation,11
DOM-21-S12,DOM-21,Ancestor memory,12
DOM-21-S13,DOM-21,Remembrance,13
DOM-21-S14,DOM-21,Post-death variation,14
DOM-22-S01,DOM-22,Historical practice,1
DOM-22-S02,DOM-22,Current practice,2
DOM-22-S03,DOM-22,Discontinued,3
DOM-22-S04,DOM-22,Remembered,4
DOM-22-S05,DOM-22,Revived,5
DOM-22-S06,DOM-22,Adapted,6
DOM-22-S07,DOM-22,Emergent,7
DOM-22-S08,DOM-22,Generational change,8
DOM-22-S09,DOM-22,Migration effects,9
DOM-22-S10,DOM-22,Education effects,10
DOM-22-S11,DOM-22,Urbanization effects,11
DOM-22-S12,DOM-22,Technology effects,12
DOM-22-S13,DOM-22,Religious change,13
DOM-22-S14,DOM-22,Economic change,14
DOM-22-S15,DOM-22,Community explanation,15
DOM-23-S01,DOM-23,Observation,1
DOM-23-S02,DOM-23,Interview,2
DOM-23-S03,DOM-23,Focus group,3
DOM-23-S04,DOM-23,Photo,4
DOM-23-S05,DOM-23,Video,5
DOM-23-S06,DOM-23,Audio,6
DOM-23-S07,DOM-23,Object,7
DOM-23-S08,DOM-23,Book,8
DOM-23-S09,DOM-23,Journal article,9
DOM-23-S10,DOM-23,Thesis,10
DOM-23-S11,DOM-23,Government source,11
DOM-23-S12,DOM-23,Community validation,12
DOM-23-S13,DOM-23,Contradiction,13
DOM-23-S14,DOM-23,Unresolved question,14
DOM-24-S01,DOM-24,Book part,1
DOM-24-S02,DOM-24,Book chapter,2
DOM-24-S03,DOM-24,Book section,3
DOM-24-S04,DOM-24,Candidate quote,4
DOM-24-S05,DOM-24,Candidate photo,5
DOM-24-S06,DOM-24,Candidate figure,6
DOM-24-S07,DOM-24,Cultural vignette,7
DOM-24-S08,DOM-24,Chapter source,8
DOM-24-S09,DOM-24,Research question,9
DOM-24-S10,DOM-24,Dataset release,10
