indicator_id,domain_id,subdomain_id,indicator_kind,indicator_label,research_prompt,knowledge_status,verification_status,ocm_code,version,status
IND-000017,DOM-02,DOM-02-S01,process_meaning,"Document actors, timing, place, sequence, objects, words and participant meaning for labour and delivery.","Who does what, when, where, how, with which objects/words, and what does it mean to participants?",candidate,field_verification_required,,1,active
IND-000018,DOM-02,DOM-02-S01,variation_change,"Document site, kili, gender, generation and historical variation in labour and delivery.","How does it vary across sites or groups, and how has it changed over time?",candidate,field_verification_required,,1,active
IND-000019,DOM-02,DOM-02-S02,presence_form,"Document the presence, local name and form of birth attendants.","What is it, what is it called locally, and what form does it take?",candidate,field_verification_required,,1,active
IND-000020,DOM-02,DOM-02-S02,process_meaning,"Document actors, timing, place, sequence, objects, words and participant meaning for birth attendants.","Who does what, when, where, how, with which objects/words, and what does it mean to participants?",candidate,field_verification_required,,1,active
IND-000021,DOM-02,DOM-02-S02,variation_change,"Document site, kili, gender, generation and historical variation in birth attendants.","How does it vary across sites or groups, and how has it changed over time?",candidate,field_verification_required,,1,active
IND-000022,DOM-02,DOM-02-S03,presence_form,"Document the presence, local name and form of newborn care.","What is it, what is it called locally, and what form does it take?",candidate,field_verification_required,,1,active
IND-000023,DOM-02,DOM-02-S03,process_meaning,"Document actors, timing, place, sequence, objects, words and participant meaning for newborn care.","Who does what, when, where, how, with which objects/words, and what does it mean to participants?",candidate,field_verification_required,,1,active
IND-000024,DOM-02,DOM-02-S03,variation_change,"Document site, kili, gender, generation and historical variation in newborn care.","How does it vary across sites or groups, and how has it changed over time?",candidate,field_verification_required,,1,active
IND-000025,DOM-02,DOM-02-S04,presence_form,"Document the presence, local name and form of cord and placenta.","What is it, what is it called locally, and what form does it take?",candidate,field_verification_required,,1,active
IND-000026,DOM-02,DOM-02-S04,process_meaning,"Document actors, timing, place, sequence, objects, words and participant meaning for cord and placenta.","Who does what, when, where, how, with which objects/words, and what does it mean to participants?",candidate,field_verification_required,,1,active
IND-000027,DOM-02,DOM-02-S04,variation_change,"Document site, kili, gender, generation and historical variation in cord and placenta.","How does it vary across sites or groups, and how has it changed over time?",candidate,field_verification_required,,1,active
IND-000028,DOM-02,DOM-02-S05,presence_form,"Document the presence, local name and form of maternal care.","What is it, what is it called locally, and what form does it take?",candidate,field_verification_required,,1,active
IND-000029,DOM-02,DOM-02-S05,process_meaning,"Document actors, timing, place, sequence, objects, words and participant meaning for maternal care.","Who does what, when, where, how, with which objects/words, and what does it mean to participants?",candidate,field_verification_required,,1,active
IND-000030,DOM-02,DOM-02-S05,variation_change,"Document site, kili, gender, generation and historical variation in maternal care.","How does it vary across sites or groups, and how has it changed over time?",candidate,field_verification_required,,1,active
IND-000031,DOM-02,DOM-02-S06,presence_form,"Document the presence, local name and form of purification and reintegration.","What is it, what is it called locally, and what form does it take?",candidate,field_verification_required,,1,active
IND-000032,DOM-02,DOM-02-S06,process_meaning,"Document actors, timing, place, sequence, objects, words and participant meaning for purification and reintegration.","Who does what, when, where, how, with which objects/words, and what does it mean to participants?",candidate,field_verification_required,,1,active
IND-000033,DOM-02,DOM-02-S06,variation_change,"Document site, kili, gender, generation and historical variation in purification and reintegration.","How does it vary across sites or groups, and how has it changed over time?",candidate,field_verification_required,,1,active
IND-000034,DOM-02,DOM-02-S07,presence_form,"Document the presence, local name and form of naming.","What is it, what is it called locally, and what form does it take?",candidate,field_verification_required,,1,active
IND-000035,DOM-02,DOM-02-S07,process_meaning,"Document actors, timing, place, sequence, objects, words and participant meaning for naming.","Who does what, when, where, how, with which objects/words, and what does it mean to participants?",candidate,field_verification_required,,1,active
IND-000036,DOM-02,DOM-02-S07,variation_change,"Document site, kili, gender, generation and historical variation in naming.","How does it vary across sites or groups, and how has it changed over time?",candidate,field_verification_required,,1,active
IND-000037,DOM-02,DOM-02-S08,presence_form,"Document the presence, local name and form of special births.","What is it, what is it called locally, and what form does it take?",candidate,field_verification_required,,1,active
IND-000038,DOM-02,DOM-02-S08,process_meaning,"Document actors, timing, place, sequence, objects, words and participant meaning for special births.","Who does what, when, where, how, with which objects/words, and what does it mean to participants?",candidate,field_verification_required,,1,active
IND-000039,DOM-02,DOM-02-S08,variation_change,"Document site, kili, gender, generation and historical variation in special births.","How does it vary across sites or groups, and how has it changed over time?",candidate,field_verification_required,,1,active
IND-000040,DOM-03,DOM-03-S01,presence_form,"Document the presence, local name and form of infant feeding.","What is it, what is it called locally, and what form does it take?",candidate,field_verification_required,,1,active
IND-000041,DOM-03,DOM-03-S01,process_meaning,"Document actors, timing, place, sequence, objects, words and participant meaning for infant feeding.","Who does what, when, where, how, with which objects/words, and what does it mean to participants?",candidate,field_verification_required,,1,active
IND-000042,DOM-03,DOM-03-S01,variation_change,"Document site, kili, gender, generation and historical variation in infant feeding.","How does it vary across sites or groups, and how has it changed over time?",candidate,field_verification_required,,1,active
IND-000043,DOM-03,DOM-03-S02,presence_form,"Document the presence, local name and form of childcare.","What is it, what is it called locally, and what form does it take?",candidate,field_verification_required,,1,active
IND-000044,DOM-03,DOM-03-S02,process_meaning,"Document actors, timing, place, sequence, objects, words and participant meaning for childcare.","Who does what, when, where, how, with which objects/words, and what does it mean to participants?",candidate,field_verification_required,,1,active
IND-000045,DOM-03,DOM-03-S02,variation_change,"Document site, kili, gender, generation and historical variation in childcare.","How does it vary across sites or groups, and how has it changed over time?",candidate,field_verification_required,,1,active
IND-000046,DOM-03,DOM-03-S03,presence_form,"Document the presence, local name and form of socialization.","What is it, what is it called locally, and what form does it take?",candidate,field_verification_required,,1,active
IND-000047,DOM-03,DOM-03-S03,process_meaning,"Document actors, timing, place, sequence, objects, words and participant meaning for socialization.","Who does what, when, where, how, with which objects/words, and what does it mean to participants?",candidate,field_verification_required,,1,active
IND-000048,DOM-03,DOM-03-S03,variation_change,"Document site, kili, gender, generation and historical variation in socialization.","How does it vary across sites or groups, and how has it changed over time?",candidate,field_verification_required,,1,active
IND-000049,DOM-03,DOM-03-S04,presence_form,"Document the presence, local name and form of discipline.","What is it, what is it called locally, and what form does it take?",candidate,field_verification_required,,1,active
IND-000050,DOM-03,DOM-03-S04,process_meaning,"Document actors, timing, place, sequence, objects, words and participant meaning for discipline.","Who does what, when, where, how, with which objects/words, and what does it mean to participants?",candidate,field_verification_required,,1,active
IND-000051,DOM-03,DOM-03-S04,variation_change,"Document site, kili, gender, generation and historical variation in discipline.","How does it vary across sites or groups, and how has it changed over time?",candidate,field_verification_required,,1,active
IND-000052,DOM-03,DOM-03-S05,presence_form,"Document the presence, local name and form of games and play.","What is it, what is it called locally, and what form does it take?",candidate,field_verification_required,,1,active
IND-000053,DOM-03,DOM-03-S05,process_meaning,"Document actors, timing, place, sequence, objects, words and participant meaning for games and play.","Who does what, when, where, how, with which objects/words, and what does it mean to participants?",candidate,field_verification_required,,1,active
IND-000054,DOM-03,DOM-03-S05,variation_change,"Document site, kili, gender, generation and historical variation in games and play.","How does it vary across sites or groups, and how has it changed over time?",candidate,field_verification_required,,1,active
IND-000055,DOM-03,DOM-03-S06,presence_form,"Document the presence, local name and form of language learning.","What is it, what is it called locally, and what form does it take?",candidate,field_verification_required,,1,active
IND-000056,DOM-03,DOM-03-S06,process_meaning,"Document actors, timing, place, sequence, objects, words and participant meaning for language learning.","Who does what, when, where, how, with which objects/words, and what does it mean to participants?",candidate,field_verification_required,,1,active
IND-000057,DOM-03,DOM-03-S06,variation_change,"Document site, kili, gender, generation and historical variation in language learning.","How does it vary across sites or groups, and how has it changed over time?",candidate,field_verification_required,,1,active
IND-000058,DOM-03,DOM-03-S07,presence_form,"Document the presence, local name and form of cultural learning.","What is it, what is it called locally, and what form does it take?",candidate,field_verification_required,,1,active
IND-000059,DOM-03,DOM-03-S07,process_meaning,"Document actors, timing, place, sequence, objects, words and participant meaning for cultural learning.","Who does what, when, where, how, with which objects/words, and what does it mean to participants?",candidate,field_verification_required,,1,active
IND-000060,DOM-03,DOM-03-S07,variation_change,"Document site, kili, gender, generation and historical variation in cultural learning.","How does it vary across sites or groups, and how has it changed over time?",candidate,field_verification_required,,1,active
IND-000061,DOM-03,DOM-03-S08,presence_form,"Document the presence, local name and form of work learning.","What is it, what is it called locally, and what form does it take?",candidate,field_verification_required,,1,active
IND-000062,DOM-03,DOM-03-S08,process_meaning,"Document actors, timing, place, sequence, objects, words and participant meaning for work learning.","Who does what, when, where, how, with which objects/words, and what does it mean to participants?",candidate,field_verification_required,,1,active
IND-000063,DOM-03,DOM-03-S08,variation_change,"Document site, kili, gender, generation and historical variation in work learning.","How does it vary across sites or groups, and how has it changed over time?",candidate,field_verification_required,,1,active
IND-000064,DOM-04,DOM-04-S01,presence_form,"Document the presence, local name and form of coming of age.","What is it, what is it called locally, and what form does it take?",candidate,field_verification_required,,1,active
IND-000065,DOM-04,DOM-04-S01,process_meaning,"Document actors, timing, place, sequence, objects, words and participant meaning for coming of age.","Who does what, when, where, how, with which objects/words, and what does it mean to participants?",candidate,field_verification_required,,1,active
IND-000066,DOM-04,DOM-04-S01,variation_change,"Document site, kili, gender, generation and historical variation in coming of age.","How does it vary across sites or groups, and how has it changed over time?",candidate,field_verification_required,,1,active
IND-000067,DOM-04,DOM-04-S02,presence_form,"Document the presence, local name and form of gender roles.","What is it, what is it called locally, and what form does it take?",candidate,field_verification_required,,1,active
IND-000068,DOM-04,DOM-04-S02,process_meaning,"Document actors, timing, place, sequence, objects, words and participant meaning for gender roles.","Who does what, when, where, how, with which objects/words, and what does it mean to participants?",candidate,field_verification_required,,1,active
IND-000069,DOM-04,DOM-04-S02,variation_change,"Document site, kili, gender, generation and historical variation in gender roles.","How does it vary across sites or groups, and how has it changed over time?",candidate,field_verification_required,,1,active
IND-000070,DOM-04,DOM-04-S03,presence_form,"Document the presence, local name and form of youth socialization.","What is it, what is it called locally, and what form does it take?",candidate,field_verification_required,,1,active
IND-000071,DOM-04,DOM-04-S03,process_meaning,"Document actors, timing, place, sequence, objects, words and participant meaning for youth socialization.","Who does what, when, where, how, with which objects/words, and what does it mean to participants?",candidate,field_verification_required,,1,active
IND-000072,DOM-04,DOM-04-S03,variation_change,"Document site, kili, gender, generation and historical variation in youth socialization.","How does it vary across sites or groups, and how has it changed over time?",candidate,field_verification_required,,1,active
IND-000073,DOM-04,DOM-04-S04,presence_form,"Document the presence, local name and form of courtship.","What is it, what is it called locally, and what form does it take?",candidate,field_verification_required,,1,active
IND-000074,DOM-04,DOM-04-S04,process_meaning,"Document actors, timing, place, sequence, objects, words and participant meaning for courtship.","Who does what, when, where, how, with which objects/words, and what does it mean to participants?",candidate,field_verification_required,,1,active
IND-000075,DOM-04,DOM-04-S04,variation_change,"Document site, kili, gender, generation and historical variation in courtship.","How does it vary across sites or groups, and how has it changed over time?",candidate,field_verification_required,,1,active
IND-000076,DOM-04,DOM-04-S05,presence_form,"Document the presence, local name and form of dance and music.","What is it, what is it called locally, and what form does it take?",candidate,field_verification_required,,1,active
IND-000077,DOM-04,DOM-04-S05,process_meaning,"Document actors, timing, place, sequence, objects, words and participant meaning for dance and music.","Who does what, when, where, how, with which objects/words, and what does it mean to participants?",candidate,field_verification_required,,1,active
IND-000078,DOM-04,DOM-04-S05,variation_change,"Document site, kili, gender, generation and historical variation in dance and music.","How does it vary across sites or groups, and how has it changed over time?",candidate,field_verification_required,,1,active
IND-000079,DOM-04,DOM-04-S06,presence_form,"Document the presence, local name and form of work.","What is it, what is it called locally, and what form does it take?",candidate,field_verification_required,,1,active
IND-000080,DOM-04,DOM-04-S06,process_meaning,"Document actors, timing, place, sequence, objects, words and participant meaning for work.","Who does what, when, where, how, with which objects/words, and what does it mean to participants?",candidate,field_verification_required,,1,active
IND-000081,DOM-04,DOM-04-S06,variation_change,"Document site, kili, gender, generation and historical variation in work.","How does it vary across sites or groups, and how has it changed over time?",candidate,field_verification_required,,1,active
IND-000082,DOM-04,DOM-04-S07,presence_form,"Document the presence, local name and form of education.","What is it, what is it called locally, and what form does it take?",candidate,field_verification_required,,1,active
IND-000083,DOM-04,DOM-04-S07,process_meaning,"Document actors, timing, place, sequence, objects, words and participant meaning for education.","Who does what, when, where, how, with which objects/words, and what does it mean to participants?",candidate,field_verification_required,,1,active
IND-000084,DOM-04,DOM-04-S07,variation_change,"Document site, kili, gender, generation and historical variation in education.","How does it vary across sites or groups, and how has it changed over time?",candidate,field_verification_required,,1,active
IND-000085,DOM-04,DOM-04-S08,presence_form,"Document the presence, local name and form of migration.","What is it, what is it called locally, and what form does it take?",candidate,field_verification_required,,1,active
IND-000086,DOM-04,DOM-04-S08,process_meaning,"Document actors, timing, place, sequence, objects, words and participant meaning for migration.","Who does what, when, where, how, with which objects/words, and what does it mean to participants?",candidate,field_verification_required,,1,active
IND-000087,DOM-04,DOM-04-S08,variation_change,"Document site, kili, gender, generation and historical variation in migration.","How does it vary across sites or groups, and how has it changed over time?",candidate,field_verification_required,,1,active
IND-000088,DOM-05,DOM-05-S01,presence_form,"Document the presence, local name and form of kili/clan.","What is it, what is it called locally, and what form does it take?",candidate,field_verification_required,,1,active
IND-000089,DOM-05,DOM-05-S01,process_meaning,"Document actors, timing, place, sequence, objects, words and participant meaning for kili/clan.","Who does what, when, where, how, with which objects/words, and what does it mean to participants?",candidate,field_verification_required,,1,active
IND-000090,DOM-05,DOM-05-S01,variation_change,"Document site, kili, gender, generation and historical variation in kili/clan.","How does it vary across sites or groups, and how has it changed over time?",candidate,field_verification_required,,1,active
IND-000091,DOM-05,DOM-05-S02,presence_form,"Document the presence, local name and form of descent.","What is it, what is it called locally, and what form does it take?",candidate,field_verification_required,,1,active
IND-000092,DOM-05,DOM-05-S02,process_meaning,"Document actors, timing, place, sequence, objects, words and participant meaning for descent.","Who does what, when, where, how, with which objects/words, and what does it mean to participants?",candidate,field_verification_required,,1,active
IND-000093,DOM-05,DOM-05-S02,variation_change,"Document site, kili, gender, generation and historical variation in descent.","How does it vary across sites or groups, and how has it changed over time?",candidate,field_verification_required,,1,active
IND-000094,DOM-05,DOM-05-S03,presence_form,"Document the presence, local name and form of kinship terminology.","What is it, what is it called locally, and what form does it take?",candidate,field_verification_required,,1,active
IND-000095,DOM-05,DOM-05-S03,process_meaning,"Document actors, timing, place, sequence, objects, words and participant meaning for kinship terminology.","Who does what, when, where, how, with which objects/words, and what does it mean to participants?",candidate,field_verification_required,,1,active
IND-000096,DOM-05,DOM-05-S03,variation_change,"Document site, kili, gender, generation and historical variation in kinship terminology.","How does it vary across sites or groups, and how has it changed over time?",candidate,field_verification_required,,1,active
IND-000097,DOM-05,DOM-05-S04,presence_form,"Document the presence, local name and form of kin obligations.","What is it, what is it called locally, and what form does it take?",candidate,field_verification_required,,1,active
IND-000098,DOM-05,DOM-05-S04,process_meaning,"Document actors, timing, place, sequence, objects, words and participant meaning for kin obligations.","Who does what, when, where, how, with which objects/words, and what does it mean to participants?",candidate,field_verification_required,,1,active
IND-000099,DOM-05,DOM-05-S04,variation_change,"Document site, kili, gender, generation and historical variation in kin obligations.","How does it vary across sites or groups, and how has it changed over time?",candidate,field_verification_required,,1,active
IND-000100,DOM-05,DOM-05-S05,presence_form,"Document the presence, local name and form of marriage restrictions.","What is it, what is it called locally, and what form does it take?",candidate,field_verification_required,,1,active
IND-000101,DOM-05,DOM-05-S05,process_meaning,"Document actors, timing, place, sequence, objects, words and participant meaning for marriage restrictions.","Who does what, when, where, how, with which objects/words, and what does it mean to participants?",candidate,field_verification_required,,1,active
IND-000102,DOM-05,DOM-05-S05,variation_change,"Document site, kili, gender, generation and historical variation in marriage restrictions.","How does it vary across sites or groups, and how has it changed over time?",candidate,field_verification_required,,1,active
IND-000103,DOM-05,DOM-05-S06,presence_form,"Document the presence, local name and form of maternal relations.","What is it, what is it called locally, and what form does it take?",candidate,field_verification_required,,1,active
IND-000104,DOM-05,DOM-05-S06,process_meaning,"Document actors, timing, place, sequence, objects, words and participant meaning for maternal relations.","Who does what, when, where, how, with which objects/words, and what does it mean to participants?",candidate,field_verification_required,,1,active
IND-000105,DOM-05,DOM-05-S06,variation_change,"Document site, kili, gender, generation and historical variation in maternal relations.","How does it vary across sites or groups, and how has it changed over time?",candidate,field_verification_required,,1,active
IND-000106,DOM-05,DOM-05-S07,presence_form,"Document the presence, local name and form of paternal relations.","What is it, what is it called locally, and what form does it take?",candidate,field_verification_required,,1,active
IND-000107,DOM-05,DOM-05-S07,process_meaning,"Document actors, timing, place, sequence, objects, words and participant meaning for paternal relations.","Who does what, when, where, how, with which objects/words, and what does it mean to participants?",candidate,field_verification_required,,1,active
IND-000108,DOM-05,DOM-05-S07,variation_change,"Document site, kili, gender, generation and historical variation in paternal relations.","How does it vary across sites or groups, and how has it changed over time?",candidate,field_verification_required,,1,active
IND-000109,DOM-05,DOM-05-S08,presence_form,"Document the presence, local name and form of affinal relations.","What is it, what is it called locally, and what form does it take?",candidate,field_verification_required,,1,active
IND-000110,DOM-05,DOM-05-S08,process_meaning,"Document actors, timing, place, sequence, objects, words and participant meaning for affinal relations.","Who does what, when, where, how, with which objects/words, and what does it mean to participants?",candidate,field_verification_required,,1,active
IND-000111,DOM-05,DOM-05-S08,variation_change,"Document site, kili, gender, generation and historical variation in affinal relations.","How does it vary across sites or groups, and how has it changed over time?",candidate,field_verification_required,,1,active
IND-000112,DOM-05,DOM-05-S09,presence_form,"Document the presence, local name and form of inheritance.","What is it, what is it called locally, and what form does it take?",candidate,field_verification_required,,1,active
IND-000113,DOM-05,DOM-05-S09,process_meaning,"Document actors, timing, place, sequence, objects, words and participant meaning for inheritance.","Who does what, when, where, how, with which objects/words, and what does it mean to participants?",candidate,field_verification_required,,1,active
IND-000114,DOM-05,DOM-05-S09,variation_change,"Document site, kili, gender, generation and historical variation in inheritance.","How does it vary across sites or groups, and how has it changed over time?",candidate,field_verification_required,,1,active
IND-000115,DOM-05,DOM-05-S10,presence_form,"Document the presence, local name and form of residence.","What is it, what is it called locally, and what form does it take?",candidate,field_verification_required,,1,active
IND-000116,DOM-05,DOM-05-S10,process_meaning,"Document actors, timing, place, sequence, objects, words and participant meaning for residence.","Who does what, when, where, how, with which objects/words, and what does it mean to participants?",candidate,field_verification_required,,1,active
IND-000117,DOM-05,DOM-05-S10,variation_change,"Document site, kili, gender, generation and historical variation in residence.","How does it vary across sites or groups, and how has it changed over time?",candidate,field_verification_required,,1,active
IND-000118,DOM-05,DOM-05-S11,presence_form,"Document the presence, local name and form of traditional organization.","What is it, what is it called locally, and what form does it take?",candidate,field_verification_required,,1,active
IND-000119,DOM-05,DOM-05-S11,process_meaning,"Document actors, timing, place, sequence, objects, words and participant meaning for traditional organization.","Who does what, when, where, how, with which objects/words, and what does it mean to participants?",candidate,field_verification_required,,1,active
IND-000120,DOM-05,DOM-05-S11,variation_change,"Document site, kili, gender, generation and historical variation in traditional organization.","How does it vary across sites or groups, and how has it changed over time?",candidate,field_verification_required,,1,active
IND-000121,DOM-06,DOM-06-S01,presence_form,"Document the presence, local name and form of eligibility.","What is it, what is it called locally, and what form does it take?",candidate,field_verification_required,,1,active
IND-000122,DOM-06,DOM-06-S01,process_meaning,"Document actors, timing, place, sequence, objects, words and participant meaning for eligibility.","Who does what, when, where, how, with which objects/words, and what does it mean to participants?",candidate,field_verification_required,,1,active
IND-000123,DOM-06,DOM-06-S01,variation_change,"Document site, kili, gender, generation and historical variation in eligibility.","How does it vary across sites or groups, and how has it changed over time?",candidate,field_verification_required,,1,active
IND-000124,DOM-06,DOM-06-S02,presence_form,"Document the presence, local name and form of partner selection.","What is it, what is it called locally, and what form does it take?",candidate,field_verification_required,,1,active
IND-000125,DOM-06,DOM-06-S02,process_meaning,"Document actors, timing, place, sequence, objects, words and participant meaning for partner selection.","Who does what, when, where, how, with which objects/words, and what does it mean to participants?",candidate,field_verification_required,,1,active
IND-000126,DOM-06,DOM-06-S02,variation_change,"Document site, kili, gender, generation and historical variation in partner selection.","How does it vary across sites or groups, and how has it changed over time?",candidate,field_verification_required,,1,active
IND-000127,DOM-06,DOM-06-S03,presence_form,"Document the presence, local name and form of courtship.","What is it, what is it called locally, and what form does it take?",candidate,field_verification_required,,1,active
IND-000128,DOM-06,DOM-06-S03,process_meaning,"Document actors, timing, place, sequence, objects, words and participant meaning for courtship.","Who does what, when, where, how, with which objects/words, and what does it mean to participants?",candidate,field_verification_required,,1,active
IND-000129,DOM-06,DOM-06-S03,variation_change,"Document site, kili, gender, generation and historical variation in courtship.","How does it vary across sites or groups, and how has it changed over time?",candidate,field_verification_required,,1,active
IND-000130,DOM-06,DOM-06-S04,presence_form,"Document the presence, local name and form of proposal.","What is it, what is it called locally, and what form does it take?",candidate,field_verification_required,,1,active
IND-000131,DOM-06,DOM-06-S04,process_meaning,"Document actors, timing, place, sequence, objects, words and participant meaning for proposal.","Who does what, when, where, how, with which objects/words, and what does it mean to participants?",candidate,field_verification_required,,1,active
IND-000132,DOM-06,DOM-06-S04,variation_change,"Document site, kili, gender, generation and historical variation in proposal.","How does it vary across sites or groups, and how has it changed over time?",candidate,field_verification_required,,1,active
IND-000133,DOM-06,DOM-06-S05,presence_form,"Document the presence, local name and form of negotiation.","What is it, what is it called locally, and what form does it take?",candidate,field_verification_required,,1,active
IND-000134,DOM-06,DOM-06-S05,process_meaning,"Document actors, timing, place, sequence, objects, words and participant meaning for negotiation.","Who does what, when, where, how, with which objects/words, and what does it mean to participants?",candidate,field_verification_required,,1,active
IND-000135,DOM-06,DOM-06-S05,variation_change,"Document site, kili, gender, generation and historical variation in negotiation.","How does it vary across sites or groups, and how has it changed over time?",candidate,field_verification_required,,1,active
IND-000136,DOM-06,DOM-06-S06,presence_form,"Document the presence, local name and form of engagement.","What is it, what is it called locally, and what form does it take?",candidate,field_verification_required,,1,active
IND-000137,DOM-06,DOM-06-S06,process_meaning,"Document actors, timing, place, sequence, objects, words and participant meaning for engagement.","Who does what, when, where, how, with which objects/words, and what does it mean to participants?",candidate,field_verification_required,,1,active
IND-000138,DOM-06,DOM-06-S06,variation_change,"Document site, kili, gender, generation and historical variation in engagement.","How does it vary across sites or groups, and how has it changed over time?",candidate,field_verification_required,,1,active
IND-000139,DOM-06,DOM-06-S07,presence_form,"Document the presence, local name and form of bride/groom exchanges.","What is it, what is it called locally, and what form does it take?",candidate,field_verification_required,,1,active
IND-000140,DOM-06,DOM-06-S07,process_meaning,"Document actors, timing, place, sequence, objects, words and participant meaning for bride/groom exchanges.","Who does what, when, where, how, with which objects/words, and what does it mean to participants?",candidate,field_verification_required,,1,active
IND-000141,DOM-06,DOM-06-S07,variation_change,"Document site, kili, gender, generation and historical variation in bride/groom exchanges.","How does it vary across sites or groups, and how has it changed over time?",candidate,field_verification_required,,1,active
IND-000142,DOM-06,DOM-06-S08,presence_form,"Document the presence, local name and form of preparation.","What is it, what is it called locally, and what form does it take?",candidate,field_verification_required,,1,active
IND-000143,DOM-06,DOM-06-S08,process_meaning,"Document actors, timing, place, sequence, objects, words and participant meaning for preparation.","Who does what, when, where, how, with which objects/words, and what does it mean to participants?",candidate,field_verification_required,,1,active
IND-000144,DOM-06,DOM-06-S08,variation_change,"Document site, kili, gender, generation and historical variation in preparation.","How does it vary across sites or groups, and how has it changed over time?",candidate,field_verification_required,,1,active
IND-000145,DOM-06,DOM-06-S09,presence_form,"Document the presence, local name and form of invitation.","What is it, what is it called locally, and what form does it take?",candidate,field_verification_required,,1,active
IND-000146,DOM-06,DOM-06-S09,process_meaning,"Document actors, timing, place, sequence, objects, words and participant meaning for invitation.","Who does what, when, where, how, with which objects/words, and what does it mean to participants?",candidate,field_verification_required,,1,active
IND-000147,DOM-06,DOM-06-S09,variation_change,"Document site, kili, gender, generation and historical variation in invitation.","How does it vary across sites or groups, and how has it changed over time?",candidate,field_verification_required,,1,active
IND-000148,DOM-06,DOM-06-S10,presence_form,"Document the presence, local name and form of wedding event.","What is it, what is it called locally, and what form does it take?",candidate,field_verification_required,,1,active
IND-000149,DOM-06,DOM-06-S10,process_meaning,"Document actors, timing, place, sequence, objects, words and participant meaning for wedding event.","Who does what, when, where, how, with which objects/words, and what does it mean to participants?",candidate,field_verification_required,,1,active
IND-000150,DOM-06,DOM-06-S10,variation_change,"Document site, kili, gender, generation and historical variation in wedding event.","How does it vary across sites or groups, and how has it changed over time?",candidate,field_verification_required,,1,active
IND-000151,DOM-06,DOM-06-S11,presence_form,"Document the presence, local name and form of ritual sequence.","What is it, what is it called locally, and what form does it take?",candidate,field_verification_required,,1,active
IND-000152,DOM-06,DOM-06-S11,process_meaning,"Document actors, timing, place, sequence, objects, words and participant meaning for ritual sequence.","Who does what, when, where, how, with which objects/words, and what does it mean to participants?",candidate,field_verification_required,,1,active
